Uniqueid,Common_Name,Scientific_Name,Second_Common_Name,eBird_Code,Name_Code,Old_Code,Habitat_specialization,Migratory_Status,Foraging_pref_1,Foraging_pref_2,Diet_type_1,Diet_type_2
169,Tree Pipit,Anthus trivialis,,TRPI,TRPI,,Generalist,Winter Migrant,Ground,,Insectivorous,
170,Olive-backed Pipit,Anthus hodgsoni,,OBPI,OBPI,,Generalist,Winter Migrant,Ground,,Insectivorous,
171,Northern Plains Langur,Semnopithecus entellus,,NA,NPLA,,,,,,,
172,Rhesus Macaque,Macaca mulatta,,NA,RHMA,,,,,,,
173,Three-striped Palm Squirrel,Funambulus palmarum,,NA,TSPS,,,,,,,
174,Spotted Deer,Axis axis,,NA,SPDE,,,,,,,
175,Barking Deer,Muntiacus muntjak,,NA,BADE,,,,,,,
176,Sambhar Deer,Rusa unicolor,,NA,SADE,,,,,,,
177,Golden Jackal,Canis aureus,,NA,GOJA,,,,,,,
178,Blue Bull,Boselaphus tragocamelus,,NA,BLBU,,,,,,,
179,Gaur,Bos gaurus,,NA,GAUR,,,,,,,
180,Wild boar ,Sus scrofa,,NA,WIBO,,,,,,,
